timestamp,dew_point_temperature,relative_humidity,solar_radiation,temperature
2018-01-01 00:00:00,8.1,79.07,86.7,11.575
2018-01-01 00:15:00,8.14,80.1,45.88,11.455
2018-01-01 00:30:00,8.21,79.92,51.62,11.55
2018-01-01 00:45:00,8.11,80.2,21.43,11.425
2018-01-01 01:00:00,8.04,81.5,6.45,11.135
2018-01-01 01:15:00,7.99,82.2,1.81,10.975
2018-01-01 01:30:00,7.93,82.7,0.24,10.815
2018-01-01 01:45:00,8.02,83.6,0.0,10.72
2018-01-01 02:00:00,8.01,83.1,0.0,10.815
2018-01-01 02:15:00,7.94,82.8,0.0,10.805
2018-01-01 02:30:00,7.86,82.1,0.0,10.855
2018-01-01 02:45:00,8.03,84.1,0.0,10.635000000000002
2018-01-01 03:00:00,8.03,84.5,0.0,10.59
2018-01-01 03:15:00,8.06,84.8,0.0,10.575
2018-01-01 03:30:00,8.05,85.2,0.0,10.485
2018-01-01 03:45:00,8.0,85.5,0.0,10.399999999999999
2018-01-01 04:00:00,7.98,86.4,0.0,10.219999999999999
2018-01-01 04:15:00,7.98,87.6,0.0,10.05
2018-01-01 04:30:00,7.98,87.9,0.0,10.01
2018-01-01 04:45:00,8.09,88.5,0.0,10.0
2018-01-01 05:00:00,8.1,89.1,0.0,9.885
2018-01-01 05:15:00,8.13,89.6,0.0,9.84
2018-01-01 05:30:00,8.19,90.0,0.0,9.82
2018-01-01 05:45:00,8.29,90.2,0.0,9.879999999999999
2018-01-01 06:00:00,8.23,90.1,0.0,9.829999999999998
2018-01-01 06:15:00,8.18,89.8,0.0,9.835
2018-01-01 06:30:00,8.12,89.3,0.0,9.870000000000001
2018-01-01 06:45:00,8.09,89.4,0.0,9.82
2018-01-01 07:00:00,8.12,89.0,0.0,9.899999999999999
2018-01-01 07:15:00,8.12,88.5,0.0,9.985
2018-01-01 07:30:00,8.1,87.9,0.0,10.07
2018-01-01 07:45:00,8.03,87.2,0.0,10.105
2018-01-01 08:00:00,7.98,86.8,0.0,10.129999999999999
2018-01-01 08:15:00,7.92,86.8,0.0,10.079999999999998
2018-01-01 08:30:00,7.92,86.8,0.0,10.094999999999999
2018-01-01 08:45:00,7.85,86.0,0.0,10.175
2018-01-01 09:00:00,7.55,84.7,0.0,10.175
2018-01-01 09:15:00,7.54,83.8,0.0,10.385
2018-01-01 09:30:00,7.39,82.7,0.0,10.495000000000001
2018-01-01 09:45:00,7.29,83.6,0.0,10.245000000000001
2018-01-01 10:00:00,7.36,83.2,0.0,10.315
2018-01-01 10:15:00,7.48,83.1,0.0,10.36
2018-01-01 10:30:00,7.38,82.8,0.0,10.36
2018-01-01 10:45:00,7.23,82.7,0.0,10.265
2018-01-01 11:00:00,7.42,82.2,0.0,10.485
2018-01-01 11:15:00,7.35,82.2,0.0,10.434999999999999
2018-01-01 11:30:00,7.23,83.9,0.0,10.065
2018-01-01 11:45:00,7.26,84.9,0.0,9.915
2018-01-01 12:00:00,7.1,86.6,0.0,9.5
2018-01-01 12:15:00,7.09,87.9,0.0,9.285
2018-01-01 12:30:00,7.27,88.0,0.0,9.55
2018-01-01 12:45:00,7.24,87.8,0.0,9.6
2018-01-01 13:00:00,7.19,85.6,0.0,9.774999999999999
2018-01-01 13:15:00,7.07,86.3,0.0,9.545
2018-01-01 13:30:00,7.36,85.6,0.0,9.83
2018-01-01 13:45:00,7.41,86.0,0.0,9.785
2018-01-01 14:00:00,7.31,86.1,0.0,9.75
2018-01-01 14:15:00,7.38,85.8,0.0,9.84
2018-01-01 14:30:00,7.37,85.8,0.0,9.815000000000001
2018-01-01 14:45:00,7.52,87.1,0.0,9.715
2018-01-01 15:00:00,7.5,89.0,0.0,9.335
2018-01-01 15:15:00,7.44,89.8,0.27,9.18
2018-01-01 15:30:00,7.55,90.2,1.84,9.219999999999999
2018-01-01 15:45:00,7.59,90.6,6.53,9.14
2018-01-01 16:00:00,7.42,89.8,23.83,9.24
2018-01-01 16:15:00,7.51,87.3,60.96,9.684999999999999
2018-01-01 16:30:00,7.53,86.4,83.5,9.825
2018-01-01 16:45:00,7.54,89.3,114.2,9.275
2018-01-01 17:00:00,7.53,90.2,113.8,9.135
2018-01-01 17:15:00,7.63,90.4,146.7,9.215
2018-01-01 17:30:00,7.71,89.7,190.0,9.375
2018-01-01 17:45:00,7.8,89.6,193.4,9.48
2018-01-01 18:00:00,7.88,89.2,244.2,9.64
2018-01-01 18:15:00,7.89,87.6,278.2,9.915
2018-01-01 18:30:00,7.77,86.1,293.8,10.05
2018-01-01 18:45:00,7.96,84.9,241.7,10.39
2018-01-01 19:00:00,7.97,84.3,279.8,10.465
2018-01-01 19:15:00,8.13,82.6,390.8,10.93
2018-01-01 19:30:00,8.36,80.4,404.6,11.545
2018-01-01 19:45:00,8.47,78.63,411.2,11.985
2018-01-01 20:00:00,8.59,77.66,387.1,12.33
2018-01-01 20:15:00,8.73,75.9,392.2,12.765
2018-01-01 20:30:00,8.66,75.22,395.6,12.91
2018-01-01 20:45:00,8.7,71.61,442.5,13.59
2018-01-01 21:00:00,8.51,70.55,355.3,13.7
2018-01-01 21:15:00,7.92,66.71,299.2,13.98
2018-01-01 21:30:00,7.93,66.06,283.7,14.115
2018-01-01 21:45:00,7.5,63.43,277.4,14.315000000000001
2018-01-01 22:00:00,7.05,61.14,292.0,14.434999999999999
2018-01-01 22:15:00,7.69,63.91,313.0,14.35
2018-01-01 22:30:00,7.42,61.05,291.5,14.765
2018-01-01 22:45:00,7.66,62.66,242.6,14.645
2018-01-01 23:00:00,7.15,60.31,224.1,14.735
2018-01-01 23:15:00,6.9,57.66,256.4,15.105
2018-01-01 23:30:00,6.28,54.5,221.5,15.370000000000001
2018-01-01 23:45:00,6.0,54.02,147.3,15.27
2018-01-02 00:00:00,6.33,55.4,161.9,15.19
2018-01-02 00:15:00,6.03,54.32,108.7,15.235
2018-01-02 00:30:00,6.42,57.34,52.06,14.83
2018-01-02 00:45:00,6.23,58.11,27.12,14.434999999999999
2018-01-02 01:00:00,6.43,59.8,8.84,14.215
2018-01-02 01:15:00,5.03,54.21,2.21,14.295
2018-01-02 01:30:00,4.83,53.58,0.28,14.285
2018-01-02 01:45:00,4.77,53.22,0.14,14.3
2018-01-02 02:00:00,4.4,51.6,0.09,14.41
2018-01-02 02:15:00,4.08,50.39,0.09,14.425
2018-01-02 02:30:00,4.01,50.59,0.1,14.305
2018-01-02 02:45:00,3.81,49.8,0.09,14.42
2018-01-02 03:00:00,3.87,50.02,0.13,14.305
2018-01-02 03:15:00,3.82,50.13,0.11,14.255
2018-01-02 03:30:00,3.45,49.14,0.11,14.184999999999999
2018-01-02 03:45:00,3.31,48.3,0.12,14.265
2018-01-02 04:00:00,2.9,46.99,0.1,14.295
2018-01-02 04:15:00,3.11,47.36,0.08,14.33
2018-01-02 04:30:00,3.04,48.43,0.05,13.95
2018-01-02 04:45:00,3.05,48.71,0.06,13.905000000000001
2018-01-02 05:00:00,2.92,48.01,0.07,13.955
2018-01-02 05:15:00,3.08,49.35,0.09,13.705
2018-01-02 05:30:00,3.34,51.25,0.06,13.364999999999998
2018-01-02 05:45:00,3.64,52.52,0.03,13.379999999999999
2018-01-02 06:00:00,4.16,55.84,0.06,12.96
2018-01-02 06:15:00,4.09,55.42,0.07,12.945
2018-01-02 06:30:00,4.12,55.57,0.04,12.945
2018-01-02 06:45:00,3.76,54.05,0.02,13.01
2018-01-02 07:00:00,3.78,54.81,0.02,12.83
2018-01-02 07:15:00,3.62,54.84,0.02,12.665
2018-01-02 07:30:00,3.57,53.87,0.01,12.89
2018-01-02 07:45:00,2.62,48.03,0.0,13.585
2018-01-02 08:00:00,1.89,43.75,0.0,14.31
2018-01-02 08:15:00,2.74,48.29,0.1,13.625
2018-01-02 08:30:00,3.21,51.22,0.08,13.370000000000001
2018-01-02 08:45:00,2.85,48.82,0.05,13.690000000000001
2018-01-02 09:00:00,2.47,46.67,0.07,13.89
2018-01-02 09:15:00,2.88,49.09,0.08,13.59
2018-01-02 09:30:00,3.14,50.4,0.03,13.455
2018-01-02 09:45:00,2.17,46.4,0.02,13.725
2018-01-02 10:00:00,1.95,46.01,0.03,13.575
2018-01-02 10:15:00,1.15,42.38,0.03,13.97
2018-01-02 10:30:00,2.16,48.52,0.06,13.015
2018-01-02 10:45:00,3.42,54.06,0.05,12.684999999999999
2018-01-02 11:00:00,1.57,44.19,0.01,13.795000000000002
2018-01-02 11:15:00,1.5,44.42,0.02,13.545
2018-01-02 11:30:00,2.56,49.92,0.07,12.945
2018-01-02 11:45:00,4.38,58.71,0.07,12.370000000000001
2018-01-02 12:00:00,5.48,66.69,0.04,11.555
2018-01-02 12:15:00,5.32,65.55,0.0,11.76
2018-01-02 12:30:00,3.32,53.41,0.01,12.695
2018-01-02 12:45:00,2.7,50.95,0.01,12.795
2018-01-02 13:00:00,1.9,47.52,0.01,13.04
2018-01-02 13:15:00,1.0,42.86,0.01,13.58
2018-01-02 13:30:00,0.46,40.77,0.03,13.745000000000001
2018-01-02 13:45:00,0.12,39.18,0.04,14.02
2018-01-02 14:00:00,0.04,38.85,0.05,14.04
2018-01-02 14:15:00,0.88,44.5,0.14,12.86
2018-01-02 14:30:00,1.42,47.73,0.04,12.495
2018-01-02 14:45:00,0.59,41.93,0.01,13.64
2018-01-02 15:00:00,-0.59,36.28,0.02,14.41
2018-01-02 15:15:00,-0.86,35.18,0.22,14.559999999999999
2018-01-02 15:30:00,-0.82,35.76,1.36,14.435
2018-01-02 15:45:00,-1.0,34.33,5.76,14.875
